,Acao,Empresa
0,VALE3,VALE
1,PETR4,PETROBRAS
2,ITUB4,ITAUUNIBANCO
3,BBDC4,BRADESCO
4,PETR3,PETROBRAS
5,B3SA3,B3
6,ABEV3,AMBEV S/A
7,BBAS3,BRASIL
8,JBSS3,JBS
9,WEGE3,WEG
10,ITSA4,ITAUSA
11,HAPV3,HAPVIDA
12,SUZB3,SUZANO S.A.
13,RENT3,LOCALIZA
14,BPAC11,BTGP BANCO
15,GGBR4,GERDAU
16,EQTL3,EQUATORIAL
17,CSAN3,COSAN
18,LREN3,LOJAS RENNER
19,VBBR3,VIBRA
20,BBDC3,BRADESCO
21,RDOR3,REDE D OR
22,RADL3,RAIADROGASIL
23,VIVT3,TELEF BRASIL
24,RAIL3,RUMO S.A.
25,NTCO3,GRUPO NATURA
26,PRIO3,PETRORIO
27,ENEV3,ENEVA
28,KLBN11,KLABIN S/A
29,TOTS3,TOTVS
30,BBSE3,BBSEGURIDADE
31,MGLU3,MAGAZ LUIZA
32,CMIG4,CEMIG
33,SBSP3,SABESP
34,BRFS3,BRF SA
35,CSNA3,SID NACIONAL
36,UGPA3,ULTRAPAR
37,AMER3,AMERICANAS
38,HYPE3,HYPERA
39,ELET3,ELETROBRAS
40,CCRO3,CCR SA
41,ASAI3,ASSAI
42,SANB11,SANTANDER BR
43,CPLE6,COPEL
44,ENGI11,ENERGISA
45,BRKM5,BRASKEM
46,EGIE3,ENGIE BRASIL
47,TIMS3,TIM
48,ELET6,ELETROBRAS
49,EMBR3,EMBRAER
50,TAEE11,TAESA
51,BIDI11,BANCO INTER
52,CRFB3,CARREFOUR BR
53,RRRP3,3R PETROLEUM
54,SULA11,SUL AMERICA
55,GOAU4,GERDAU MET
56,BRAP4,BRADESPAR
57,LCAM3,LOCAMERICA
58,AZUL4,AZUL
59,BRML3,BR MALLS PAR
60,MRFG3,MARFRIG
61,USIM5,USIMINAS
62,CPFE3,CPFL ENERGIA
63,MULT3,MULTIPLAN
64,CMIN3,CSNMINERACAO
65,SOMA3,GRUPO SOMA
66,VIIA3,VIA
67,YDUQ3,YDUQS PART
68,ENBR3,ENERGIAS BR
69,ALPA4,ALPARGATAS
70,COGN3,COGNA ON
71,PETZ3,PETZ
72,FLRY3,FLEURY
73,CYRE3,CYRELA REALT
74,CIEL3,CIELO
75,QUAL3,QUALICORP
76,DXCO3,DEXCO
77,IRBR3,IRBBRASIL RE
78,PCAR3,P.ACUCAR-CBD
79,LWSA3,LOCAWEB
80,BEEF3,MINERVA
81,IGTI11,IGUATEMI S.A
82,BPAN4,BANCO PAN
83,MRVE3,MRV
84,CVCB3,CVC BRASIL
85,GOLL4,GOL
86,ECOR3,ECORODOVIAS
87,JHSF3,JHSF PART
88,EZTC3,EZTEC
89,CASH3,MELIUZ
90,POSI3,POSITIVO TEC
