,Setor,Acao,Empresa,Qntd_teorica,Part_%,SubSetor,Part_%_acum
0,Mats Básicos ,VALE3,VALE,3843570705,16.292,Mineração,16.292
1,"Petróleo, Gás e Biocombustívei",PETR4,PETROBRAS,4566442248,6.572,"Petróleo, Gás e Biocombustíveis",22.864
2,Financ e Outros ,ITUB4,ITAUUNIBANCO,4780002924,5.793,Interms Financs,28.657
3,Financ e Outros ,BBDC4,BRADESCO,4691427537,4.627,Interms Financs,33.284
4,"Petróleo, Gás e Biocombustívei",PETR3,PETROBRAS,2703343822,4.324,"Petróleo, Gás e Biocombustíveis",37.608
5,Financeiro e Outros,B3SA3,B3,6065856318,4.046,Serviços Financeiros Diversos,41.653999999999996
6,Cons N Cíclico ,ABEV3,AMBEV S/A,4359908680,2.95,Bebidas,44.604
7,Financ e Outros ,BBAS3,BRASIL,1420530937,2.302,Interms Financs,46.906
8,Cons N  Básico ,JBSS3,JBS,1290736673,2.286,Alimentos Processados,49.192
9,Bens Indls ,WEGE3,WEG,1484859030,2.207,Máqs e Equips,51.399
10,Financ e Outros ,ITSA4,ITAUSA,4736048447,2.202,Interms Financs,53.601
11,Saúde,HAPV3,HAPVIDA,4411767198,2.112,SM Hosp An.Diag,55.713
12,Mats Básicos ,SUZB3,SUZANO S.A.,726779281,1.794,Madeira e Papel,57.507
13,Diverso,RENT3,LOCALIZA,593944309,1.563,Diversos,59.07
14,Financ e Outros ,BPAC11,BTGP BANCO,1301655996,1.504,Interms Financs,60.574
15,Mats Básicos ,GGBR4,GERDAU,1097534498,1.487,Sid Metalurgia,62.061
16,Utilidade Públ ,EQTL3,EQUATORIAL,1128906085,1.345,Energ Elétrica,63.406
17,"Petróleo, Gás e Biocombustívei",CSAN3,COSAN,1169237744,1.247,"Petróleo, Gás e Biocombustíveis",64.653
18,Consumo Cíclico ,LREN3,LOJAS RENNER,979060006,1.205,Comércio,65.858
19,"Petróleo, Gás e Biocombustívei",VBBR3,VIBRA,1131883365,1.182,"Petróleo, Gás e Biocombustíveis",67.04
20,Financ e Outros ,BBDC3,BRADESCO,1378842305,1.125,Interms Financs,68.165
21,Saúde,RDOR3,REDE D OR,562360943,1.099,SM Hosp An.Diag,69.26400000000001
22,Saúde,RADL3,RAIADROGASIL,1071076905,1.097,Comércio Distr.,70.361
23,Telecomunicaçã,VIVT3,TELEF BRASIL,433476952,1.072,Telecomunicação,71.433
24,Bens Indls,RAIL3,RUMO S.A.,1216056103,1.03,Transporte,72.46300000000001
25,Cons N Cíclico ,NTCO3,GRUPO NATURA,844296775,0.972,Pr Pessoal Limp,73.435
26,"Petróleo, Gás e Biocombustívei",PRIO3,PETRORIO,839159130,0.962,"Petróleo, Gás e Biocombustíveis",74.397
27,Utilidade Públ ,ENEV3,ENEVA,1261568398,0.904,Energ Elétrica,75.301
28,Mats Básicos ,KLBN11,KLABIN S/A,812994397,0.853,Madeira e Papel,76.154
29,Tec.Informação,TOTS3,TOTVS,519851955,0.837,Programas Servs,76.991
30,Financ e Outros ,BBSE3,BBSEGURIDADE,671629692,0.809,Previd  Seguros,77.8
31,Consumo Cíclico ,MGLU3,MAGAZ LUIZA,2896234638,0.801,Comércio,78.601
32,Utilidade Públ ,CMIG4,CEMIG,1114214662,0.793,Energ Elétrica,79.394
33,Utilidade Públ ,SBSP3,SABESP,340001934,0.787,Água Saneamento,80.18100000000001
34,Cons N  Básico ,BRFS3,BRF SA,1081759800,0.758,Alimentos Processados,80.93900000000001
35,Mats Básicos ,CSNA3,SID NACIONAL,642398790,0.752,Sid Metalurgia,81.691
36,"Petróleo, Gás e Biocombustívei",UGPA3,ULTRAPAR,1085952374,0.751,"Petróleo, Gás e Biocombustíveis",82.44200000000001
37,Consumo Cíclico ,AMER3,AMERICANAS,571352399,0.74,Comércio,83.182
38,Saúde,HYPE3,HYPERA,410253528,0.732,Comércio Distr.,83.914
39,Utilidade Públ ,ELET3,ELETROBRAS,358028908,0.715,Energ Elétrica,84.629
40,Bens Indls,CCRO3,CCR SA,1115693556,0.693,Transporte,85.322
