,Codigo,Acao,Tipo,Qtde_Teo,Part_%
0,ABEV3,AMBEV S/A,ON  EDJ,4359908680.0,3.368
1,ALPA4,ALPARGATAS,PN      N1,167963777.0,0.31
2,AMER3,AMERICANAS,ON      NM,397635158.0,0.629
3,ASAI3,ASSAI,ON      NM,794310097.0,0.516
4,AZUL4,AZUL,PN      N2,327780192.0,0.4
5,B3SA3,B3,ON  ED  NM,6065856318.0,3.373
6,BBAS3,BRASIL,ON      NM,1420530937.0,2.053
7,BBDC3,BRADESCO,ON  EDJ N1,1378842305.0,1.118
8,BBDC4,BRADESCO,PN  EDJ N1,4691427537.0,4.515
9,BBSE3,BBSEGURIDADE,ON      NM,671629692.0,0.698
10,BEEF3,MINERVA,ON      NM,254073639.0,0.135
11,BIDI11,BANCO INTER,UNT     N2,577852934.0,0.827
12,BPAC11,BTGP BANCO,UNT EJ  N2,1301655996.0,1.37
13,BPAN4,BANCO PAN,PN  EJ  N1,341124068.0,0.183
14,BRAP4,BRADESPAR,PN      N1,251414753.0,0.315
15,BRFS3,BRF SA,ON      NM,811759800.0,0.916
16,BRKM5,BRASKEM,PNA     N1,264642296.0,0.764
17,BRML3,BR MALLS PAR,ON      NM,834170584.0,0.347
18,CASH3,MELIUZ,ON      NM,548153725.0,0.089
19,CCRO3,CCR SA,ON      NM,1115693556.0,0.648
20,CIEL3,CIELO,ON  EJ  NM,1144359228.0,0.131
21,CMIG4,CEMIG,PN  EJ  N1,1114214662.0,0.732
22,CMIN3,CSNMINERACAO,ON  EJ  N2,1120593365.0,0.378
23,COGN3,COGNA ON,ON      NM,1828106676.0,0.225
24,CPFE3,CPFL ENERGIA,ON      NM,187732538.0,0.252
25,CPLE6,COPEL,PNB     N2,1563365506.0,0.497
26,CRFB3,CARREFOUR BR,ON      NM,410988561.0,0.314
27,CSAN3,COSAN,ON      NM,1169237744.0,1.271
28,CSNA3,SID NACIONAL,ON,642398790.0,0.804
29,CVCB3,CVC BRASIL,ON      NM,224571661.0,0.151
30,CYRE3,CYRELA REALT,ON      NM,281609283.0,0.223
31,DXCO3,DEXCO,ON      NM,295712871.0,0.222
32,ECOR3,ECORODOVIAS,ON      NM,339237914.0,0.124
33,EGIE3,ENGIE BRASIL,ON  EJ  NM,255217329.0,0.491
34,ELET3,ELETROBRAS,ON      N1,358028908.0,0.599
35,ELET6,ELETROBRAS,PNB     N1,242987127.0,0.402
36,EMBR3,EMBRAER,ON      NM,734558205.0,0.913
37,ENBR3,ENERGIAS BR,ON      NM,230931405.0,0.242
38,ENEV3,ENEVA,ON      NM,1266339183.0,0.898
39,ENGI11,ENERGISA,UNT     N2,248477689.0,0.525
40,EQTL3,EQUATORIAL,ON      NM,1010511085.0,1.145
41,EZTC3,EZTEC,ON      NM,101618236.0,0.104
42,FLRY3,FLEURY,ON  EJ  NM,303425821.0,0.273
43,GGBR4,GERDAU,PN      N1,1097534498.0,1.499
44,GNDI3,INTERMEDICA,ON      NM,592114608.0,1.79
45,GOAU4,GERDAU MET,PN      N1,698275321.0,0.398
