,Codigo,Acao,Tipo,Qtde_Teo,Part_%
0,RRRP3,3R PETROLEUM,ON      NM,200.372.163,"0,413"
1,ALPA4,ALPARGATAS,PN      N1,201.257.220,"0,212"
2,ABEV3,AMBEV S/A,ON,4.380.195.841,"2,992"
3,AMER3,AMERICANAS,ON      NM,596.875.824,"0,781"
4,ASAI3,ASSAI,ON      NM,794.531.367,"0,604"
5,AZUL4,AZUL,PN      N2,327.741.172,"0,350"
6,B3SA3,B3,ON      NM,5.987.625.321,"4,032"
7,BIDI11,BANCO INTER,UNT     N2,577.852.934,"0,444"
8,BPAN4,BANCO PAN,PN      N1,341.124.068,"0,153"
9,BBSE3,BBSEGURIDADE,ON      NM,671.629.692,"0,816"
10,BRML3,BR MALLS PAR,ON      NM,828.273.884,"0,336"
11,BBDC3,BRADESCO,ON      N1,1.378.842.305,"1,136"
12,BBDC4,BRADESCO,PN      N1,4.691.427.537,"4,672"
13,BRAP4,BRADESPAR,PN      N1,251.402.249,"0,380"
14,BBAS3,BRASIL,ON      NM,1.420.530.937,"2,324"
15,BRKM5,BRASKEM,PNA     N1,264.965.008,"0,537"
16,BRFS3,BRF SA,ON      NM,1.076.512.610,"0,762"
17,BPAC11,BTGP BANCO,UNT     N2,1.301.655.996,"1,518"
18,CRFB3,CARREFOUR BR,ON      NM,410.988.561,"0,441"
19,CCRO3,CCR SA,ON      NM,1.115.693.556,"0,700"
20,CMIG4,CEMIG,PN      N1,1.114.214.662,"0,800"
21,CIEL3,CIELO,ON      NM,1.144.359.228,"0,190"
22,COGN3,COGNA ON,ON      NM,1.828.106.676,"0,231"
23,CPLE6,COPEL,PNB     N2,1.563.365.506,"0,551"
24,CSAN3,COSAN,ON      NM,1.169.237.744,"1,259"
25,CPFE3,CPFL ENERGIA,ON      NM,187.732.538,"0,306"
26,CMIN3,CSNMINERACAO,ON      N2,1.120.593.365,"0,303"
27,CVCB3,CVC BRASIL,ON      NM,224.231.429,"0,150"
28,CYRE3,CYRELA REALT,ON      NM,281.609.283,"0,200"
29,DXCO3,DEXCO,ON      NM,295.712.871,"0,180"
30,ECOR3,ECORODOVIAS,ON      NM,339.237.914,"0,119"
31,ELET3,ELETROBRAS,ON      N1,358.028.908,"0,722"
32,ELET6,ELETROBRAS,PNB     N1,242.987.127,"0,481"
33,EMBR3,EMBRAER,ON      NM,734.588.205,"0,468"
34,ENBR3,ENERGIAS BR,ON  ED  NM,230.931.405,"0,240"
35,ENGI11,ENERGISA,UNT     N2,248.477.689,"0,547"
36,ENEV3,ENEVA,ON      NM,1.257.479.978,"0,909"
37,EGIE3,ENGIE BRASIL,ON      NM,255.217.329,"0,523"
38,EQTL3,EQUATORIAL,ON      NM,1.100.513.485,"1,324"
39,EZTC3,EZTEC,ON      NM,101.618.236,"0,079"
40,FLRY3,FLEURY,ON      NM,303.373.882,"0,218"
41,GGBR4,GERDAU,PN      N1,1.097.534.498,"1,500"
42,GOAU4,GERDAU MET,PN      N1,698.275.321,"0,383"
43,GOLL4,GOL,PN  ES  N2,167.095.214,"0,127"
44,NTCO3,GRUPO NATURA,ON      NM,834.914.221,"0,970"
45,SOMA3,GRUPO SOMA,ON      NM,489.316.435,"0,304"
