Data,Fechamento,Variacao,Variacao_%,Abertura,Maxima,Minima
2019-07-24,34.35,0.0,0.0,34.49,34.74,34.03
2019-07-25,33.95,-0.4,-1.16,34.21,34.7,33.27
2019-07-26,35.14,1.19,3.51,33.97,35.38,33.59
2019-07-29,34.8,-0.34,-0.97,34.99,34.99,34.28
2019-07-30,34.2,-0.6,-1.72,34.66,35.1,34.15
2019-07-30,34.2,0.0,0.0,34.66,35.1,34.15
2019-07-31,34.49,0.29,0.85,34.22,34.95,34.22
2019-08-01,35.4,0.91,2.64,34.44,35.49,34.22
2019-08-02,34.66,-0.74,-2.09,34.8,36.48,34.61
2019-08-05,33.72,-0.94,-2.71,34.04,34.52,33.51
2019-08-06,35.2,1.48,4.39,33.72,35.97,33.4
2019-08-07,34.55,-0.65,-1.85,35.11,35.15,34.25
2019-08-08,34.75,0.2,0.58,34.55,35.0,34.3
2019-08-09,34.45,-0.3,-0.86,34.69,34.81,33.76
2019-08-12,33.52,-0.93,-2.7,33.79,33.85,33.25
2019-08-13,33.8,0.28,0.84,33.55,34.06,32.89
2019-08-14,32.2,-1.6,-4.73,33.39,33.8,32.01
2019-08-15,31.28,-0.92,-2.86,32.5,32.5,30.6
2019-08-16,31.41,0.13,0.42,31.64,32.12,30.6
2019-08-19,31.28,-0.13,-0.41,31.54,31.83,30.98
2019-08-20,32.71,1.43,4.57,31.15,32.75,30.91
2019-08-21,32.85,0.14,0.43,32.8,32.91,32.11
2019-08-22,32.65,-0.2,-0.61,32.71,32.73,32.3
2019-08-23,30.78,-1.87,-5.73,32.0,32.0,30.7
2019-08-26,30.35,-0.43,-1.4,30.91,31.71,30.35
2019-08-27,30.2,-0.15,-0.49,30.83,31.32,29.82
2019-08-28,30.5,0.3,0.99,30.16,31.17,29.81
2019-08-29,32.35,1.85,6.07,30.67,32.61,30.53
2019-08-30,31.46,-0.89,-2.75,32.42,32.74,31.46
2019-09-02,31.99,0.53,1.68,31.73,32.24,31.69
2019-09-03,32.85,0.86,2.69,32.0,33.77,31.9
2019-09-04,33.08,0.23,0.7,33.31,33.51,32.3
2019-09-05,32.44,-0.64,-1.93,33.34,33.43,32.25
2019-09-06,32.24,-0.2,-0.62,32.57,32.61,31.9
2019-09-09,31.67,-0.57,-1.77,32.25,32.31,31.34
2019-09-10,32.75,1.08,3.41,31.64,32.83,31.55
2019-09-11,33.0,0.25,0.76,32.8,33.19,32.42
2019-09-12,34.21,1.21,3.67,33.25,34.3,33.2
2019-09-13,33.61,-0.6,-1.75,34.28,34.46,33.41
